,Vieta,Zaidejas,Komanda,Rungtynes,Suma
0,1,Jeffery Garrett,CBet,43,822
1,2,Ahmad Caver,Wolves,33,671
2,3,Goran Huskič,CBet,41,664
3,4,Tim Lambrecht,Nevėžis–Optibet,35,641
4,5,Laurynas Birutis,Žalgiris,42,596
5,6,Gytis Radzevičius,Rytas,39,591
6,7,Kristian Kullamae,7bet-Lietkabelis,45,564
7,8,Edgaras Ulanovas,Žalgiris,40,558
8,9,Dovis Bičkauskis,CBet,43,556
9,10,Vytenis Lipkevičius,7bet-Lietkabelis,43,540
10,11,Bradley Davison,Nevėžis–Optibet,35,526
11,12,Marcus Foster,Rytas,37,516
12,13,Matas Jogėla,Neptūnas,34,512
13,14,Glynn Watson,CBet,30,448
14,15,Justin Alston,Uniclub Casino - Juventus,35,441
15,16,Martynas Echodas,Rytas,23,439
16,17,Donatas Sabeckis,Šiauliai,31,436
17,18,Gytis Masiulis,Rytas,43,435
18,19,Margiris Normantas,Rytas,39,429
19,20,Marius Valinskas,Nevėžis–Optibet,34,424
20,21,Joshua Newkirk,Gargždai,33,413
21,22,Jamel Morris,7bet-Lietkabelis,42,412
22,23,Gabrielius Maldūnas,7bet-Lietkabelis,45,410
23,24,Austin Wiley,Neptūnas,23,409
24,25,Šarūnas Beniušis,Gargždai,33,408
25,26,Edvinas Šeškus,CBet,40,404
26,27,Arminas Urbutis,Šiauliai,32,395
27,28,Giedrius Staniulis,Gargždai,26,394
28,29,Deividas Gailius,Neptūnas,33,393
29,30,Rokas Gustys,Neptūnas,33,389
30,31,Eigirdas Žukauskas,Wolves,34,388
31,32,Kevarrius Hayes,Žalgiris,42,387
32,33,Deshawn Freeman,Nevėžis–Optibet,21,381
33,34,Elvar Fridriksson,Rytas,42,376
34,35,Rolands Šmits,Žalgiris,40,374
35,36,Martynas Varnas,Šiauliai,25,374
36,37,Paulius Danusevičius,Šiauliai,33,369
37,38,Jonas Zohore Bergstedt,Šiauliai,33,366
38,39,Julius Kazakauskas,Gargždai,30,364
39,40,Brandon Brown,Uniclub Casino - Juventus,32,361
40,41,Artūrs Žagars,Nevėžis–Optibet,22,357
41,42,Martins Laksa,CBet,40,354
42,43,Evaldas Šaulys,Pieno žvaigždės,33,354
43,44,Žygimantas Janavičius,Neptūnas,32,353
44,45,Danielius Lavrinovičius,Nevėžis–Optibet,34,351
45,46,Kyle Mangas,Šiauliai,33,349
46,47,Tomas Dimša,Žalgiris,43,345
47,48,Alexander Hamilton,Uniclub Casino - Juventus,21,344
48,49,Lukas Lekavičius,Žalgiris,40,340
49,50,Paulius Murauskas,7bet-Lietkabelis,43,339
50,51,Arnas Butkevičius,Žalgiris,38,332
51,52,Kristupas Žemaitis,Wolves,35,332
52,53,Martynas Gecevičius,Uniclub Casino - Juventus,36,328
53,54,Martynas Paliukėnas,Uniclub Casino - Juventus,33,324
54,55,Mindaugas Girdžiūnas,Neptūnas,34,323
55,56,Martynas Pacevičius,Pieno žvaigždės,25,320
56,57,Ignas Vaitkus,Pieno žvaigždės,30,316
57,58,Ignas Brazdeikis,Žalgiris,40,314
58,59,Isiah Osborne,Gargždai,29,312
59,60,Oskaras Pleikys,Neptūnas,34,310
60,61,Žygimantas Skučas,Uniclub Casino - Juventus,34,301
61,62,Kyan Anderson,Labas Gas,22,297
62,63,Evaldas Kairys,Rytas,36,296
63,64,Gediminas Orelik,7bet-Lietkabelis,23,289
64,65,Reginald Lynch,Uniclub Casino - Juventus,21,286
65,66,Adas Juškevičius,Wolves,33,284
66,67,Marcos Delia,Wolves,32,280
67,68,Corey Allen-Williams,Pieno žvaigždės,30,273
68,69,Regimantas Miniotas,Wolves,30,272
69,70,Gyorgy Goloman,7bet-Lietkabelis,42,270
70,71,Mantas Rubštavičius,7bet-Lietkabelis,41,270
71,72,Gintautas Matulis,Uniclub Casino - Juventus,35,266
72,73,Achille Polonara,Žalgiris,21,262
73,74,Justinas Jogminas,Labas Gas,23,259
74,75,Rihards Kuksiks,Pieno žvaigždės,29,258
75,76,Darius Tarvydas,Labas Gas,23,257
76,77,Justin Gorham,Rytas,19,257
77,78,Justas Furmanavičius,Pieno žvaigždės,29,245
78,79,Željko Šakič,7bet-Lietkabelis,32,244
79,80,Jylan Washington,Gargždai,27,243
80,81,Daryl Doualla,Nevėžis–Optibet,33,234
81,82,Jawun Evans,Uniclub Casino - Juventus,14,230
82,83,Benedek Varadi,Rytas,28,215
83,84,Jonathan Davis,Uniclub Casino - Juventus,13,214
84,85,Nikola Popovic,7bet-Lietkabelis,28,211
85,86,Isaiah Taylor,Žalgiris,21,209
86,87,Julius Jucikas,Pieno žvaigždės,20,199
87,88,Tauras Jogėla,Labas Gas,18,197
88,89,Lukas Uleckas,Rytas,39,197
89,90,Eimantas Stankevičius,Šiauliai,29,192
90,91,Artem Kovalov,Pieno žvaigždės,28,187
91,92,Karolis Giedraitis,Labas Gas,31,185
92,93,John Gillon,Pieno žvaigždės,12,181
93,94,Dominykas Domarkas,Labas Gas,29,177
94,95,Kendale McCullum,Rytas,18,174
95,96,Jaime Echenique,Rytas,15,170
96,97,Arnas Beručka,Wolves,35,168
97,98,Jeffery Taylor,Wolves,14,167
98,99,Tyler Cavanaugh,Žalgiris,22,166
99,100,Vytautas Šulskis,CBet,38,163
100,101,Reigarvius Williams,Rytas,15,163
101,102,Stefan Peno,7bet-Lietkabelis,24,156
102,103,Antino Jackson,Šiauliai,22,152
103,104,Dovydas Romančenko,Uniclub Casino - Juventus,35,151
104,105,Jared Cunningham,Pieno žvaigždės,18,150
105,106,Jorden Duffy,7bet-Lietkabelis,19,148
106,107,Rinalds Malmanis,Neptūnas,33,144
107,108,Dovydas Giedraitis,Žalgiris,30,137
108,109,Keenan Evans,Žalgiris,10,135
109,110,Mindaugas Lukauskis,Wolves,33,131
110,111,Paulius Petrilevičius,Nevėžis–Optibet,8,130
111,112,Rashard Kelly,Wolves,11,129
112,113,Nojus Mineikis,Neptūnas,27,127
113,114,Aurimas Urbonas,Gargždai,24,125
114,115,Motiejus Krivas,Žalgiris,13,121
115,116,Karolis Lukošiūnas,Žalgiris,40,118
116,117,Eric Buckner,Wolves,12,118
117,118,Aurimas Majauskas,CBet,17,115
118,119,Domantas Vilys,Labas Gas,23,111
119,120,Doko Šalič,Labas Gas,13,111
120,121,Keith Benson,Uniclub Casino - Juventus,11,108
121,122,Ernestas Sederevičius,Uniclub Casino - Juventus,33,107
122,123,Marius Runkauskas,Gargždai,26,106
123,124,Hugo Invernizzi,Wolves,16,103
124,125,Artūras Valeika,CBet,24,100
125,126,Radoslav Pekovič,Šiauliai,14,97
126,127,Jordan Williams,Labas Gas,12,97
127,128,Giedrius Bergaudas,Labas Gas,27,95
128,129,Jamil Wilson,Labas Gas,9,93
129,130,Daniel Baslyk,Šiauliai,33,90
130,131,Matas Vaitkus,Neptūnas,34,77
131,132,Tomas Lekūnas,Rytas,27,72
132,133,Rokas Gadiliauskas,Labas Gas,12,69
133,134,Vitalijus Kozys,Wolves,20,68
134,135,Justinas Marcinkevičius,Nevėžis–Optibet,20,67
135,136,Jerai Grant,Wolves,4,64
136,137,Benas Griciūnas,7bet-Lietkabelis,18,64
137,138,Mantas Ruikis,Gargždai,29,63
138,139,Aaron Cook,Nevėžis–Optibet,12,63
139,141,Robertas Keliačius,Labas Gas,8,57
140,142,Mindaugas Stašys,Gargždai,20,50
141,143,Mintautas Mockus,Labas Gas,15,50
142,144,Titas Sargiūnas,Nevėžis–Optibet,30,49
143,145,Bryce Douvier,Šiauliai,10,44
144,146,Maliek White,Neptūnas,14,44
145,147,Evan Maxwell,CBet,18,41
146,148,Mantas Kalnietis,Žalgiris,11,39
147,149,Ernestas Jonkus,Gargždai,8,39
148,150,Nemanja Bezbradica,Šiauliai,8,39
149,151,Lukas Kreišmontas,CBet,17,33
150,152,Martynas Zigmantavičius,Pieno žvaigždės,22,33
151,153,Martynas Arlauskas,Pieno žvaigždės,23,32
152,154,Aleksa Nikolič,Uniclub Casino - Juventus,20,27
153,155,Adas Šimonis,Rytas,13,24
154,156,Modestas Babraitis,Rytas,3,24
155,157,Liutauras Lelevičius,Žalgiris,10,23
156,158,Rafael Alberton Rodrigues,Nevėžis–Optibet,15,19
157,161,Dorde Dželetovič,Pieno žvaigždės,9,18
158,162,Grantas Vasiliauskas,7bet-Lietkabelis,16,16
159,163,Klaidas Metrikis,Labas Gas,10,15
160,164,Dominykas Stenionis,Nevėžis–Optibet,6,15
161,165,Juan Gomez de Liano,Wolves,7,13
162,166,Kajus Kublickas,Žalgiris,2,11
163,167,Mantvydas Staniulis,CBet,8,10
164,168,Arnas Adomavičius,Labas Gas,7,8
165,169,Kaspars Berzins,Uniclub Casino - Juventus,1,8
166,170,Jokūbas Rubinas,Šiauliai,8,7
167,171,Mantas Litvinas,Šiauliai,3,6
168,172,Tadas Pažėra,Uniclub Casino - Juventus,2,5
169,173,Kajus Leliukas,Šiauliai,3,5
170,174,Herkus Kumpys,Wolves,4,4
171,175,Nikas Stuknys,7bet-Lietkabelis,4,4
172,176,Shaquille Keith,Labas Gas,2,3
173,181,Shaquille Keith,Labas Gas,2,3
174,182,Adomas Sidarevičius,Neptūnas,8,2
175,183,Matas Repšys,Neptūnas,5,2
176,184,Mantas Gūžys,Labas Gas,6,2
177,185,Tomas Pačėsas,Wolves,5,0
178,186,Robertas Indrišiūnas,Pieno žvaigždės,1,0
179,187,Nedas Rauluševičius,CBet,1,0
180,188,Gustas Grabauskas,Šiauliai,2,0
181,189,Lorenas Stoškevičius,Nevėžis–Optibet,17,-1
182,190,Kristupas Umantas,Gargždai,2,-1
183,191,Gediminas Leščiauskas,Neptūnas,7,-3
184,192,Juozas Virkutis,Gargždai,6,-3
185,193,Robertas Syčius,CBet,9,-3
186,194,Vaidas Čepukaitis,Wolves,1,-4
187,195,Paulius Kulikauskas,Gargždai,3,-4
188,196,Edas Valenta,Labas Gas,3,-6
189,201,Xavier Thames,CBet,1,-6
190,202,Mantas Gezevičius,CBet,8,-10
191,203,Tomas Verbinskis,Nevėžis–Optibet,28,-15
