,Vieta,Zaideja,REB,Komanda,GM,REB_min,REB_max
0,1.,Gintarė  Petronytė,212,Vilniaus Kibirkštis,20,3,17
1,2.,Maiara  Pereira Dias,176,Klaipėdos LCC tarptautinis universitetas,20,2,15
2,3.,Linda Victorine  Ndoli,175,Klaipėdos Neptūnas,20,1,15
3,4.,Maisa Pereira Dias,167,Klaipėdos LCC tarptautinis universitetas,20,0,19
4,5.,Urtė  Čižauskaitė,115,Kauno Aistės-LSMU,18,1,13
5,6.,Gintarė  Paulauskaitė,107,Kauno Aistės-LSMU,18,1,12
6,7.,Uliana  Datsko,101,Klaipėdos Neptūnas,20,1,11
7,8.,Gedvilė  Savostaitė,95,Kauno Aistės-LSMU,19,2,14
8,9.,Ligita  Tamutytė,88,Klaipėdos Neptūnas,20,1,7
9,10.,Justina  Miknaitė,86,Vilniaus Kibirkštis,21,0,10
10,11.,Rūta  Stipra,83,Šiaulių Šiauliai-Vilmers,11,4,14
11,12.,Enrika  Matiukaitė,78,Šiaulių Šiauliai-Vilmers,12,3,10
12,13.,Laurita  Jurčiūtė,78,Klaipėdos LCC tarptautinis universitetas,19,1,8
13,14.,Martyna   Petrėnaitė,78,Kauno Aistės-LSMU,19,0,12
14,15.,Gabrielė  Šulskė,77,Vilniaus Kibirkštis,20,0,8
15,16.,Kateryna  Chikaodiri Dike,76,Klaipėdos LCC tarptautinis universitetas,17,0,19
16,17.,Gerda  Raulušaitytė,75,Vilniaus Kibirkštis,21,1,8
17,18.,Karolina  Kazočiūnaitė,74,Vilniaus Kibirkštis,20,1,9
18,19.,Gintarė  Mažionytė,74,Vilniaus Kibirkštis,21,0,9
19,20.,Eglė  Zabotkaitė,71,Vilniaus Kibirkštis,20,0,13
20,21.,Dalia  Donskichytė,61,Klaipėdos Neptūnas,20,0,6
21,22.,Viktoria  Balaban,60,Klaipėdos Neptūnas,19,0,9
22,23.,Agnė  Černeckytė,60,Klaipėdos Neptūnas,20,0,7
23,24.,Morgan  Lenahan,59,Šiaulių Šiauliai-Vilmers,12,2,9
24,25.,Brigita  Rimkevičiūtė,57,Šiaulių Šiauliai-Vilmers,12,2,10
25,26.,Polina  Korbut,55,Klaipėdos LCC tarptautinis universitetas,20,1,7
26,27.,Ugnė  Sirtautaitė,54,Vilniaus Kibirkštis,20,0,8
27,28.,Brigita  Sinickaitė,50,Klaipėdos Neptūnas,18,1,7
28,29.,Tyra Marie Buss,47,Kauno Aistės-LSMU,19,0,7
29,30.,Lina  Loceniece,46,Klaipėdos LCC tarptautinis universitetas,17,1,7
30,31.,Elizabete  Bulane,45,Klaipėdos LCC tarptautinis universitetas,16,1,6
31,32.,Saulė  Mikelionytė,41,Klaipėdos Neptūnas,20,0,6
32,33.,Audronė  Zdanevičiūtė,38,Kauno Aistės-LSMU,18,0,7
33,34.,Livija  Sakevičiūtė,37,Vilniaus Kibirkštis,19,0,6
34,35.,Deimantė  Žukaitė,34,Kauno Aistės-LSMU,18,0,4
35,36.,Rachel Elise Theriot,33,Vilniaus Kibirkštis,14,0,4
36,37.,Kamilė  Berenytė,30,Šiaulių Šiauliai-Vilmers,11,0,7
37,38.,Neda  Pliatkutė,29,Kauno Aistės-LSMU,18,0,4
38,39.,Amalija  Pašajevaitė,28,Kauno Aistės-LSMU,12,0,6
39,40.,Danguolė  Pupkevičiūtė,26,Šiaulių Šiauliai-Vilmers,12,0,5
40,41.,Salome  Cordinier,26,Klaipėdos LCC tarptautinis universitetas,20,0,8
41,42.,Laura  Juškaitė,23,Vilniaus Kibirkštis,5,4,6
42,43.,Agnesė  Garčinskaitė,16,Kauno Aistės-LSMU,8,0,5
43,44.,Justina   Kraujūnaitė,15,Vilniaus Kibirkštis,6,1,10
44,45.,Gustė  Drakšaitė,15,Klaipėdos LCC tarptautinis universitetas,14,0,3
45,46.,Iryna  Savchuk,14,Šiaulių Šiauliai-Vilmers,9,0,4
46,47.,Justina  Oficerovaitė,14,Kauno Aistės-LSMU,14,0,3
47,48.,Kamilė  Mickutė,12,Klaipėdos Neptūnas,7,0,5
48,49.,Karina  Budajeva,12,Klaipėdos LCC tarptautinis universitetas,10,0,6
49,50.,Yuliia  Hutevych,10,Šiaulių Šiauliai-Vilmers,5,1,3
50,51.,Olha  Holodiuk,8,Šiaulių Šiauliai-Vilmers,10,0,2
51,52.,Saulė  Globytė,6,Klaipėdos Neptūnas,5,0,3
52,53.,Austėja  Kasnaravičiūtė,3,Klaipėdos Neptūnas,5,0,3
53,54.,Evelina  Razgutė,2,Kauno Aistės-LSMU,7,0,1
