,Team,Avg,Season
0,Rytas,91.8,2022-2023
1,Žalgiris,86.6,2022-2023
2,Uniclub Casino - Juventus,86.6,2022-2023
3,Nevėžis–Optibet,86.2,2022-2023
4,Wolves,85.8,2022-2023
5,7bet-Lietkabelis,83.6,2022-2023
6,Šiauliai,83.2,2022-2023
7,Neptūnas,81.2,2022-2023
8,Pieno žvaigždės,79.8,2022-2023
9,CBet,79.7,2022-2023
10,Labas Gas,79.2,2022-2023
11,Gargždai,75.8,2022-2023
0,Rytas,87.5,2021-2022
1,Žalgiris,84.5,2021-2022
2,Uniclub Casino - Juventus,84.5,2021-2022
3,Lietkabelis,82.8,2021-2022
4,Šiauliai-7Bet,80.9,2021-2022
5,Pieno žvaigždės,80.7,2021-2022
6,Nevėžis–Optibet,78.3,2021-2022
7,CBet,78.1,2021-2022
8,Neptūnas,77.4,2021-2022
9,Labas Gas,77.0,2021-2022
10,Dzūkija,75.3,2021-2022
0,Žalgiris,91.7,2020-2021
1,Rytas,88.2,2020-2021
2,Juventus,86.8,2020-2021
3,Lietkabelis,84.8,2020-2021
4,Šiauliai,84.1,2020-2021
5,Prienų CBet,83.5,2020-2021
6,Dzūkija,80.8,2020-2021
7,Pieno žvaigždės,79.4,2020-2021
8,Neptūnas,79.3,2020-2021
9,Nevėžis–Optibet,76.0,2020-2021
