,Place,Player,Team,Three_pts_percentage
0,1,Julius Jucikas,Pieno žvaigždės,50.0%
1,2,Kevarrius Hayes,Žalgiris,50.0%
2,3,Alexander Hamilton,Uniclub Casino - Juventus,48.1%
3,4,Rihards Kuksiks,Pieno žvaigždės,45.3%
4,5,Ernestas Sederevičius,Uniclub Casino - Juventus,45.2%
5,6,Titas Sargiūnas,Nevėžis–Optibet,44.7%
6,7,Lukas Lekavičius,Žalgiris,43.8%
7,8,Mindaugas Lukauskis,Wolves,43.2%
8,9,Dovydas Giedraitis,Žalgiris,42.9%
9,10,Evaldas Šaulys,Pieno žvaigždės,42.8%
10,11,Kristian Kullamae,7bet-Lietkabelis,42.5%
11,12,Gytis Radzevičius,Rytas,42.4%
12,13,Paulius Danusevičius,Šiauliai,41.6%
13,14,Tyler Cavanaugh,Žalgiris,41.4%
14,15,Martynas Varnas,Šiauliai,41.3%
15,16,Tomas Dimša,Žalgiris,41.1%
16,17,Eigirdas Žukauskas,Wolves,40.1%
17,18,Martins Laksa,CBet,40.1%
18,19,Kristupas Žemaitis,Wolves,39.4%
19,20,Vytenis Lipkevičius,7bet-Lietkabelis,39.3%
20,21,Tim Lambrecht,Nevėžis–Optibet,39.2%
21,22,Gediminas Orelik,7bet-Lietkabelis,39.1%
22,23,Karolis Lukošiūnas,Žalgiris,38.9%
23,24,Adas Juškevičius,Wolves,38.7%
24,25,Daniel Baslyk,Šiauliai,38.6%
25,26,Nojus Mineikis,Neptūnas,38.5%
26,27,Jeffery Garrett,CBet,38.4%
27,28,Paulius Murauskas,7bet-Lietkabelis,38.4%
28,29,Marcus Foster,Rytas,38.3%
29,30,Kyle Mangas,Šiauliai,38.0%
30,31,Isiah Osborne,Gargždai,38.0%
31,32,Kyan Anderson,Labas Gas,37.9%
32,33,Arnas Beručka,Wolves,37.9%
33,34,Jamel Morris,7bet-Lietkabelis,36.9%
34,35,Mindaugas Stašys,Gargždai,36.8%
35,36,Gintautas Matulis,Uniclub Casino - Juventus,36.6%
36,37,Edgaras Ulanovas,Žalgiris,36.5%
37,38,Margiris Normantas,Rytas,36.1%
38,39,Rolands Šmits,Žalgiris,36.0%
39,40,Mindaugas Girdžiūnas,Neptūnas,35.9%
40,41,Marius Runkauskas,Gargždai,35.9%
41,42,Bradley Davison,Nevėžis–Optibet,35.7%
42,43,Matas Jogėla,Neptūnas,35.6%
43,44,Danielius Lavrinovičius,Nevėžis–Optibet,35.5%
44,45,Dovis Bičkauskis,CBet,35.3%
45,46,Lukas Uleckas,Rytas,35.0%
46,47,Artūrs Žagars,Nevėžis–Optibet,34.8%
47,48,Corey Allen-Williams,Pieno žvaigždės,34.7%
48,49,Brandon Brown,Uniclub Casino - Juventus,34.6%
49,50,Jared Cunningham,Pieno žvaigždės,34.6%
50,51,Deividas Gailius,Neptūnas,34.6%
51,52,Joshua Newkirk,Gargždai,34.4%
52,53,Stefan Peno,7bet-Lietkabelis,33.9%
53,54,Ahmad Caver,Wolves,33.9%
54,55,Mantas Rubštavičius,7bet-Lietkabelis,33.7%
55,56,Benedek Varadi,Rytas,33.7%
56,57,Edvinas Šeškus,CBet,33.5%
57,58,Šarūnas Beniušis,Gargždai,33.3%
58,59,Martynas Paliukėnas,Uniclub Casino - Juventus,33.3%
59,60,Martynas Zigmantavičius,Pieno žvaigždės,33.3%
60,61,Goran Huskič,CBet,33.3%
61,62,Glynn Watson,CBet,33.3%
62,63,Karolis Giedraitis,Labas Gas,33.1%
63,64,Željko Šakič,7bet-Lietkabelis,32.8%
64,65,Arnas Butkevičius,Žalgiris,32.5%
65,66,Marius Valinskas,Nevėžis–Optibet,32.5%
66,67,Arminas Urbutis,Šiauliai,32.4%
67,68,Eimantas Stankevičius,Šiauliai,32.3%
68,69,Darius Tarvydas,Labas Gas,32.1%
69,70,Tomas Lekūnas,Rytas,31.9%
70,71,Gytis Masiulis,Rytas,31.8%
71,72,Dominykas Domarkas,Labas Gas,31.7%
72,73,Elvar Fridriksson,Rytas,31.6%
73,74,Regimantas Miniotas,Wolves,31.6%
74,75,Mantas Ruikis,Gargždai,31.6%
75,76,Antino Jackson,Šiauliai,31.2%
76,77,Vitalijus Kozys,Wolves,30.8%
77,78,Aurimas Urbonas,Gargždai,30.5%
78,79,Giedrius Bergaudas,Labas Gas,30.4%
79,80,Justas Furmanavičius,Pieno žvaigždės,30.0%
80,81,Julius Kazakauskas,Gargždai,29.6%
81,82,Matas Vaitkus,Neptūnas,29.5%
82,83,Martynas Gecevičius,Uniclub Casino - Juventus,29.1%
83,84,Ignas Brazdeikis,Žalgiris,29.0%
84,85,Jonas Zohore Bergstedt,Šiauliai,28.6%
85,86,Artem Kovalov,Pieno žvaigždės,28.6%
86,87,Daryl Doualla,Nevėžis–Optibet,28.0%
87,88,Gyorgy Goloman,7bet-Lietkabelis,27.9%
88,89,Domantas Vilys,Labas Gas,27.8%
89,90,Donatas Sabeckis,Šiauliai,27.3%
90,91,Tauras Jogėla,Labas Gas,27.0%
91,92,Justin Alston,Uniclub Casino - Juventus,26.9%
92,93,Dovydas Romančenko,Uniclub Casino - Juventus,26.9%
93,94,Ignas Vaitkus,Pieno žvaigždės,26.5%
94,95,Žygimantas Janavičius,Neptūnas,26.3%
95,96,Rinalds Malmanis,Neptūnas,24.2%
96,97,Žygimantas Skučas,Uniclub Casino - Juventus,21.7%
97,98,Artūras Valeika,CBet,21.4%
98,99,Oskaras Pleikys,Neptūnas,17.6%
99,100,Tomas Verbinskis,Nevėžis–Optibet,16.7%
100,101,Aleksa Nikolič,Uniclub Casino - Juventus,15.8%
101,102,Justinas Jogminas,Labas Gas,15.4%
102,103,Justinas Marcinkevičius,Nevėžis–Optibet,15.0%
103,104,Deshawn Freeman,Nevėžis–Optibet,14.3%
104,105,Vytautas Šulskis,CBet,13.5%
105,106,Laurynas Birutis,Žalgiris,0.0%
106,107,Gabrielius Maldūnas,7bet-Lietkabelis,0.0%
107,108,Martynas Arlauskas,Pieno žvaigždės,0.0%
108,109,Giedrius Staniulis,Gargždai,0.0%
109,110,Rokas Gustys,Neptūnas,0.0%
110,111,Martynas Pacevičius,Pieno žvaigždės,0.0%
111,112,Reginald Lynch,Uniclub Casino - Juventus,0.0%
112,113,Martynas Echodas,Rytas,0.0%
113,114,Evaldas Kairys,Rytas,0.0%
114,115,Marcos Delia,Wolves,0.0%
115,116,Austin Wiley,Neptūnas,0.0%
116,117,Nikola Popovic,7bet-Lietkabelis,0.0%
